projeto TK;12:16:34;13:18:46;01:02:12;00:14:14;13/08/2025
Banco de dados;12:47:42;14:25:24;01:37:42;00:00:00;14/08/2025
projeto TK;12:58:25;14:44:42;01:46:17;00:00:00;15/08/2025
logica e programação;13:43:33;14:34:20;00:50:47;00:49:10;18/08/2025
logica e programação;11:45:53;12:49:58;01:04:05;00:00:00;19/08/2025
Lingua portuguesa;15:11:36;16:12:04;01:00:28;00:00:00;19/08/2025
história;08:21:41;09:16:00;00:54:19;00:00:00;20/08/2025
violao;09:42:55;10:08:22;00:25:27;00:00:00;20/08/2025
quimica;11:16:28;11:59:02;00:42:34;00:00:00;21/08/2025
Matemática;12:04:35;12:40:16;00:35:41;00:00:00;21/08/2025
